property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bristol 002C,E01014690,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,,,,,,,,,,,,,1.333333333,0.00017131354657587048
Bristol 002D,E01014691,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,,,122.2,0.0,-0.998412711076992,0.0,0.19466909181321518,0.0,0.4719364794832114,0.0,5.666666667,0.0007280825731722986
Bristol 002E,E01014692,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,3.0,0.00038545547989207247
Bristol 002F,E01014693,30.0,,60.0,,80.0,,92.2,,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.666666667,0.0003426270932802261
Bristol 002G,E01014694,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.0,0.00025697031992804833
Bristol 003A,E01014497,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,,,,,,,,,,,,,3.333333333,0.0004282838665039188
Bristol 003B,E01014498,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,,,133.0,,-0.9614319809305374,,0.18798612358261807,,0.46465344140654197,,3.0,0.00038545547989207247
Bristol 003C,E01014638,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,,,,,,-0.5390674957331283,,0.09903040499309557,,0.6878846615841877,,3.0,0.00038545547989207247
Bristol 003E,E01014640,30.0,0.0,60.0,0.0,80.0,0.0,97.59999999999998,0.0,127.6,0.0,,,127.6,,-0.6291663346683437,0.19606511821387776,0.11782324716117994,0.04108978779899483,0.6443280356801224,0.09840642458391435,3.333333333,0.0004282838665039188
Bristol 004A,E01014631,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,2.0,0.00025697031992804833
Bristol 004B,E01014632,30.0,0.0,60.0,0.0,80.0,0.0,87.90000000000002,0.0,117.9,0.0,,,,,-0.5627397448207101,0.0,0.10310863485837218,0.0,0.6923075332854607,0.0,2.333333333,0.00029979870653989467
Bristol 004C,E01014633,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,2.666666667,0.0003426270932802261
Bristol 004D,E01014636,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,2.333333333,0.00029979870653989467
Bristol 005B,E01014634,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,0.666666667,8.565677335217782e-05
